bta_name,aphia_id,taxon_level,genus,family,order,class,phylum,n_sites,total_abund,in_biotic,Size,LifeSpan,feedingmethod,mobility,growthform,Bioturbator,bio_none,bio_biodiff,bio_upward,bio_downward,bio_bioirr,bio_surf_mod,size<5,size_5_10,size_10_20,size_20_40,size_40_80,size>80,life<1,life_1_3,life_3_5,life_5_10,life>10,feed_deposit,feed_suspension,feed_detritus,feed_scavenger,feed_grazer,feed_predator,morph_soft,morph_tunic,morph_exoskeleton,morph_crustose,morph_cushion,morph_stalked,morph_endoskeleton,mob_fixed,mob_limited,mob_slow,mob_mobile,life_min,life_max
Echinocyamus pusillus,124273,species,Echinocyamus,Fibulariidae,Echinolampadacea,Echinoidea,Echinodermata,46,232,TRUE,Small(1-2cm),Insufficient information,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verruca stroemia,106257,species,Verruca,Verrucidae,Verrucomorpha,Thecostraca,Arthropoda,7,228,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glycera lapidum,130123,species,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,54,223,TRUE,Small(1-2cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clausinella fasciata,141909,species,Clausinella,Veneridae,Venerida,Bivalvia,Mollusca,45,214,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thyasira flexuosa,141662,species,Thyasira,Thyasiridae,Lucinida,Bivalvia,Mollusca,53,197,FALSE,Small(1-2cm),Insufficient information,NA,Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dosinia,138636,genus,Dosinia,Veneridae,Venerida,Bivalvia,Mollusca,26,195,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abra,138474,genus,Abra,Semelidae,Cardiida,Bivalvia,Mollusca,35,189,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pholoe baltica,130599,species,Pholoe,Sigalionidae,Phyllodocida,Polychaeta,Annelida,59,187,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptochiton cancellatus,140201,species,Leptochiton,Leptochitonidae,Lepidopleurida,Polyplacophora,Mollusca,20,182,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aponuphis bilineata,130452,species,Aponuphis,Onuphidae,Eunicida,Polychaeta,Annelida,36,178,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetozone setosa,129955,species,Chaetozone,Cirratulidae,Terebellida,Polychaeta,Annelida,56,173,TRUE,Small(1-2cm),1-2 years,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Vermiform segmented,Not researched,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Nephtys incisa,130362,species,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,53,169,TRUE,Small-medium(3-10cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nereimyra punctata,130185,species,Nereimyra,Hesionidae,Phyllodocida,Polychaeta,Annelida,35,168,TRUE,Small(1-2cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notomastus,129220,genus,Notomastus,Capitellidae,NA,Polychaeta,Annelida,63,162,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphictene auricoma,152448,species,Amphictene,Pectinariidae,Terebellida,Polychaeta,Annelida,54,156,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphictene auricoma,334415,species,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida,54,156,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplocirrus glaucus,130100,species,Diplocirrus,Flabelligeridae,Terebellida,Polychaeta,Annelida,56,154,FALSE,Small(1-2cm),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Photis longicaudata,102383,species,Photis,Photidae,Amphipoda,Malacostraca,Arthropoda,33,151,TRUE,Very small(<1cm),NA,"Passive suspension feeder, Active suspension feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modiolus,138223,genus,Modiolus,Modiolidae,Mytilida,Bivalvia,Mollusca,12,149,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timoclea ovata,141929,species,Timoclea,Veneridae,Venerida,Bivalvia,Mollusca,43,140,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder",Crawler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphipholis squamata,125064,species,Amphipholis,Amphiuridae,Amphilepidida,Ophiuroidea,Echinodermata,21,128,FALSE,Small-medium(3-10cm),3-5 years,NA,Crawler,"Radial, Stellate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Nucula nucleus,140590,species,Nucula,Nuculidae,Nuculida,Bivalvia,Mollusca,19,125,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aonides oxycephala,131106,species,Aonides,Spionidae,Spionida,Polychaeta,Annelida,33,123,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nototropis vedlomensis,102132,species,Atylus,Atylidae,Amphipoda,Malacostraca,Arthropoda,40,121,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasybranchus,129213,genus,Dasybranchus,Capitellidae,NA,Polychaeta,Annelida,36,120,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polycirrus,129710,genus,Polycirrus,Terebellidae,Terebellida,Polychaeta,Annelida,51,119,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nucula nitidosa,140589,species,Nucula,Nuculidae,Nuculida,Bivalvia,Mollusca,51,118,TRUE,Small(1-2cm),6-10 years,"Surface deposit feeder, Sub-surface deposit feeder","Crawler, Burrower",Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Pholoe inornata,130601,species,Pholoe,Sigalionidae,Phyllodocida,Polychaeta,Annelida,33,118,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaerosyllis taylori,131394,species,Sphaerosyllis,Syllidae,Phyllodocida,Polychaeta,Annelida,11,117,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoronis,128545,genus,Phoronis,Phoronidae,NA,NA,Phoronida,48,116,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephtys kersivalensis,130363,species,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,56,114,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synarachnactis lloydii,283798,species,Cerianthus,Cerianthidae,Ceriantharia,Hexacorallia,Cnidaria,31,113,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydroides norvegica,157437,species,Hydroides,Serpulidae,Sabellida,Polychaeta,Annelida,41,112,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydroides norvegica,381915,species,Serpula,Serpulidae,Sabellida,Polychaeta,Annelida,41,112,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydroides norvegica,131009,species,Hydroides,Serpulidae,Sabellida,Polychaeta,Annelida,41,112,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terebellides stroemii,183466,species,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,42,110,FALSE,Small-medium(3-10cm),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terebellides stroemii,131573,species,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,42,110,FALSE,Small-medium(3-10cm),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysianassa plumosa,102611,species,Lysianassa,Lysianassidae,Amphipoda,Malacostraca,Arthropoda,23,108,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malmgrenia mcintoshi,130818,species,Malmgreniella,Polynoidae,Phyllodocida,Polychaeta,Annelida,22,103,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malmgrenia mcintoshi,147007,species,Malmgrenia,Polynoidae,Phyllodocida,Polychaeta,Annelida,22,103,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaunthompsonia cristata,110467,species,Vaunthompsonia,Bodotriidae,Cumacea,Malacostraca,Arthropoda,12,101,FALSE,Very small(<1cm),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sosane sulcata,129821,species,Sosane,Ampharetidae,Terebellida,Polychaeta,Annelida,17,99,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvania punctura,141230,species,Alvania,Rissoidae,Littorinimorpha,Gastropoda,Mollusca,9,97,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edwardsia claparedii,100880,species,Edwardsia,Edwardsiidae,Actiniaria,Hexacorallia,Cnidaria,14,95,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sapphirina,347103,genus,Edwardsia,Sapphirinidae,Cyclopoida,Copepoda,Arthropoda,26,91,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thracia villosiuscula,141651,species,Thracia,Thraciidae,NA,Bivalvia,Mollusca,12,89,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Praxillella affinis,130322,species,Praxillella,Maldanidae,NA,Polychaeta,Annelida,39,88,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetoderma nitidulum,139106,species,Chaetoderma,Chaetodermatidae,Chaetodermatida,Caudofoveata,Mollusca,46,85,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laonice bahusiensis,131127,species,Laonice,Spionidae,Spionida,Polychaeta,Annelida,31,85,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moerella donacina,147021,species,Moerella,Tellinidae,Cardiida,Bivalvia,Mollusca,25,84,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goniada maculata,130140,species,Goniada,Goniadidae,Phyllodocida,Polychaeta,Annelida,50,83,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephtys,129370,genus,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,46,83,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edwardsiidae,100665,family,NA,Edwardsiidae,Actiniaria,Hexacorallia,Cnidaria,25,82,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glycera unicornis,130127,species,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,53,80,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glycera unicornis,130131,species,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,53,80,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
